From,To,priority type,min length,max length,min height,max height,min width,max width,min weight,max weight,rate per g
V9A1A1,H1Y1A1,Regular,10,210,7,275,1,210,0,10,1.619
M3C1A1,H1Y1A1,Xpress,10,210,7,275,1,210,10,20,1.149
B3H1A1,H1Y1A1,Priority,10,210,7,275,1,210,20,30,0.964
S4P1A1,H1Y1A1,Regular,10,210,7,275,1,210,10,20,1.149
T6X1A1,H1Y1A1,Xpress,10,210,7,275,1,210,10,20,1.149
A1B1A1,H1Y1A1,Priority,10,210,7,275,1,210,10,20,1.149
C1A1A1,H1Y1A1,Regular,10,210,7,275,1,210,20,30,0.964
R2C1A1,H1Y1A1,Xpress,10,210,7,275,1,210,20,30,0.964
E3B1A1,H1Y1A1,Priority,10,210,7,275,1,210,20,30,0.964
Y0B1A1,H1Y1A1,Regular,10,210,7,275,1,210,0,10,1.619
X1A1A1,H1Y1A1,Xpress,10,210,7,275,1,210,0,10,1.619
X0A1A1,H1Y1A1,Priority,10,210,7,275,1,210,0,10,1.619
